﻿Wskaźnik;Jednostka;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Sieć cieplna rozdzielcza;km;671,3;938,3;1133,9;1290,7;1223,6;1443,9;1557;1641,3;1965;2201,5;2480,8;2793,5;3080,7;3281,7;3386;3708,7;4152,9;4579,6;4973,4;5411,9;3670,8;3810,3;4076,9;4272,3;4418,3;4572;4779,9;4967,1;5224,6;5311,6;5303,5;5482;5571,7;5775,1;5868,2;5957,4;6239;6928,9;7060,5
Sieć cieplna magistralna;km;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2060,3;2125;2250,6;2415,5;2563,2;2698,5;2857,5;3035;3241,4;3279,7;3224;3544,2;3707,9;3925,4;3951,6;4082,1;4286,8;4737,4;4928,9
Kotłownie zdalaczynne (osiedlowe) i lokalne (stan w dniu 31 XII);szt.;2929;3201;3584;3778;4045;4155;4303;6622;6443;6938;7486;6304;6492;6756;6906;7325;7637;7700;7787;8029;8081;8033;8166;8372;8479;8538;8662;8551;8432;8311;8066;8081;8000;8263;8188;8138;8059;8270;8184
Kubatura budynków ogrzewanych centralnie;dam3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;602 349,0;.;.;777 639,0;851 182,0;904 691,0;946 104,0;1 003 180,0;1 049 615,0;1 095 614,0;1 143 109,0;1 192 366,0;1 251 066,0;1 314 381,0;1 358 392,0;1 389 933,0;1 413 742,0;1 402 679,0;1 411 044,0;1 419 790,0;1 424 347,0;1 457 590,0;1 537 108,0;1 578 553,0
budynki mieszkalne;dam3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;433 498,0;461 795,0;496 537,0;540 576,0;587 684,0;633 534,0;661 225,0;699 165,0;731 367,0;764 253,0;794 841,0;829 131,0;861 415,0;910 707,0;.;.;.;.;.;.;.;.;1 057 377,0;1 094 350,0
budynki niemieszkalne;dam3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;168 851,0;.;.;237 063,0;263 498,0;271 157,0;284 879,0;304 015,0;318 248,0;331 361,0;348 268,0;363 235,0;389 651,0;403 674,0;.;.;.;.;.;.;.;.;479 731,0;484 203,0
Powierzchnia użytkowa mieszkań ogrzewanych centralnie;tys. m2;16 368,0;.;.;.;.;.;.;.;50 174,0;57 949,0;53 478,0;60 592,0;69 345,0;77 876,0;83 149,0;94 022,0;99 320,0;105 484,0;114 361,0;126 700,0;135 693,0;145 322,0;151 301,0;157 323,0;163 702,0;171 053,0;179 223,0;185 999,0;194 443,0;199 223,0;202 603,0;216 850,0;226 434,0;226 142,0;227 535,0;228 125,0;228 316,0;.;.
Powierzchnia użytkowa mieszkań objętych centralną dostawą ciepłej wody;tys. m2;.;.;.;.;.;.;.;.;.;.;17 640,0;19 990,0;22 962,0;26 566,0;28 143,0;32 305,0;35 845,0;38 972,0;44 608,0;51 116,0;57 705,0;64 424,0;69 809,0;75 243,0;81 648,0;87 205,0;93 348,0;99 043,0;105 278,0;112 372,0;115 963,0;122 475,0;130 483,0;.;.;.;.;.;.
Zużycie energii cieplnej wyprodukowanej w kotłowniach własnych;TJ;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;34 714,0;.;.;51 770,0;58 279,0;67 512,0;82 987,0;77 794,0;83 175,0;94 737,0;103 399,0;100 100,0;107 704,0;107 777,0;104 381,0;102 525,0;111 966,0;117 739,0;123 258,0;113 833,0;119 218,0;147 601,0;174 896,0;175 642,0
Zużycie energii cieplnej zakupionej z obcych źródeł;TJ;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;87 857,0;.;.;145 885,0;157 180,0;177 026,0;185 512,0;188 628,0;195 402,0;213 967,0;238 276,0;228 415,0;249 336,0;231 824,0;223 774,0;215 850,0;231 209,0;232 094,0;234 003,0;216 800,0;223 989,0;239 113,0;221 004,0;210 184,0
